,Unnamed: 0,Name,Platform,Year,Genre,Publisher,DateSortie,Studio,Score,Rate,Review,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_licence,GK_distributeur
142,178,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2002-03-01,KCEJ,9.6,8.55,62.0,2.45,2.01,0.87,0.72,6.05,Metal Gear,
143,180,Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,,Sonic Team,,8.2,217.0,4.47,1.2,0.16,0.19,6.03,Sonic ,
144,181,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2008-06-01,Kojima Productions,9.4,7.9,373.0,2.63,1.74,0.83,0.83,6.03,Metal Gear,
145,183,Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,1998-10-01,KCEJ,9.4,9.2,,3.18,1.83,0.78,0.24,6.03,Metal Gear ,
146,184,The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2013-06-01,Naughty Dog,9.5,7.85,287.0,2.41,2.28,0.28,1.01,5.99,The Last of Us,
147,185,Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,2006-10-01,Square Enix,9.2,7.7,314.0,1.88,0.0,2.33,1.74,5.95,Final Fantasy,
148,187,LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2008-11-01,SCE/WWS,9.5,,1105.0,2.8,2.05,0.17,0.9,5.92,LittleBigPlanet ,
149,188,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,2010-07-01,Level 5,8.7,7.8,115.0,0.66,0.69,4.35,0.15,5.84,Dragon Quest ,
150,189,LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,2007-11-01,Traveller's Tales,8.0,6.9,63.0,3.66,1.63,0.0,0.53,5.83,,Activision
151,190,Resident Evil 2,PS,1998.0,Action,Virgin Interactive,1998-01-01,Capcom,8.9,8.2,235.0,1.88,1.47,2.02,0.45,5.82,Resident Evil,
152,192,Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,1996-08-01,Namco,8.9,7.7,60.0,2.26,1.89,1.36,0.23,5.74,Tekken ,Sony Interactive Entertainment Europe
153,193,Cooking Mama,DS,2006.0,Simulation,505 Games,2006-09-01,Taito Corporation,6.7,4.4,8.0,3.13,1.94,0.07,0.58,5.72,Mama,Digital Bros.
154,194,Destiny,PS4,2014.0,Shooter,Activision,2014-09-01,Bungie Software,7.6,7.35,847.0,2.49,2.05,0.16,0.96,5.65,Destiny,
155,195,Tetris,NES,1988.0,Puzzle,Nintendo,,Bullet-Proof Software,,,,2.97,0.69,1.81,0.11,5.58,Tetris ,
156,196,Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2009-11-01,Ubisoft Montreal,9.1,9.0,2347.0,2.54,1.95,0.21,0.87,5.57,Assassin's Creed,
157,197,Super Smash Bros.,N64,1999.0,Fighting,Nintendo,1999-12-01,HAL Labs,7.9,8.5,282.0,2.95,0.6,1.97,0.04,5.55,Nintendo,
158,198,Assassin's Creed,X360,2007.0,Adventure,Ubisoft,2007-11-01,Ubisoft Montreal,8.1,8.45,1387.0,3.28,1.65,0.07,0.55,5.55,Assassin's Creed,
159,200,Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2011-10-01,Rocksteady Studios,9.6,9.3,1332.0,2.7,1.91,0.11,0.8,5.53,Batman,
160,202,Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,2009-10-01,Turn 10,9.2,8.1,104.0,2.99,1.92,0.1,0.51,5.51,Forza Motorsport,
161,203,Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,2009-06-01,Capcom,8.1,7.4,34.0,0.47,0.57,4.13,0.34,5.5,Monster Hunter,
162,204,Super Mario Advance,GBA,2001.0,Platform,Nintendo,2001-06-01,Nintendo,8.4,8.9,197.0,3.14,1.24,0.91,0.2,5.49,Mario ,
163,205,Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,2001-09-01,Intelligent Systems,9.3,,302.0,2.62,1.64,0.99,0.23,5.47,,
164,206,Super Mario World,GBA,2001.0,Platform,Nintendo,,Nintendo,9.0,8.9,286.0,3.21,1.11,0.95,0.2,5.46,Mario,
165,207,Pokemon Stadium,N64,1999.0,Strategy,Nintendo,,HAL Laboratory,6.0,6.6,57.0,3.18,1.24,0.94,0.09,5.45,PokǸmon ,
166,208,Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2008-11-01,Treyarch,8.5,7.95,966.0,2.72,1.87,0.0,0.84,5.43,Call of Duty,
167,210,Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,2001-10-01,Traveller's Tales,6.6,6.5,16.0,2.07,2.29,0.24,0.82,5.42,Crash Bandicoot ,Vivendi Games
168,211,Minecraft,PS3,2014.0,Misc,Sony Computer Entertainment,2011-11-01,Mojang Studios,9.5,8.45,119.0,1.97,2.51,0.0,0.94,5.42,Minecraft,
169,212,Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,2010-03-01,Square Enix,8.3,7.6,2298.0,1.74,1.24,1.87,0.52,5.36,Final Fantasy,
170,213,Dr. Mario,GB,1989.0,Puzzle,Nintendo,,,4.0,6.4,19.0,2.18,0.96,2.0,0.2,5.34,Mario,
171,215,Pokemon Pinball,GB,1999.0,Misc,Nintendo,,Nintendo,7.0,7.1,7.0,3.02,1.12,1.01,0.16,5.31,PokǸmon ,
172,216,Assassin's Creed III,X360,2012.0,Action,Ubisoft,2012-10-01,Ubisoft,8.4,8.4,1195.0,3.13,1.71,0.03,0.44,5.3,Assassin's Creed,
173,217,Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,2000-11-01,SquareSoft,9.4,8.6,350.0,1.62,0.77,2.78,0.14,5.3,Final Fantasy,
174,218,Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,2003-11-01,SquareSoft,8.5,6.5,160.0,1.92,1.08,2.11,0.17,5.29,Final Fantasy,Electronic Arts
